,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
0,198,285,286,100.664707573281,100.69493071423597,,,1.997261070989075,3.9869208380928365,0.00010020569640928071,2024-01-01 05:04:00,2024-01-01 05:05:00,0 days 00:01:00,
1,193,373,374,103.62192352859316,103.48231519907644,,,-30.94151940417074,3.997111807444023,-0.0015471509110255648,2024-01-01 06:32:00,2024-01-01 06:33:00,0 days 00:01:00,
2,227,960,961,87.82300703853085,87.79835357915148,,,-9.582940165137352,3.986604886021389,-0.00048068947835748575,2024-01-01 16:19:00,2024-01-01 16:20:00,0 days 00:01:00,
3,250,1629,1630,79.83708903728709,80.31340722110103,,,115.07578354702643,4.003762406459703,0.005765530027943855,2024-01-02 03:28:00,2024-01-02 03:29:00,0 days 00:01:00,
4,250,1644,1645,80.0427503682537,79.85201079839267,,,-51.68226149442547,3.9973690291661597,-0.0025827329149311264,2024-01-02 03:43:00,2024-01-02 03:44:00,0 days 00:01:00,
5,247,1719,1721,80.7715169945791,81.25504727561682,,,115.42992327884195,4.002056137473839,0.005785797295871803,2024-01-02 04:58:00,2024-01-02 05:00:00,0 days 00:02:00,
6,243,1803,1804,82.16770599783112,81.70040455008647,,,-117.53624688826332,3.981995086314398,-0.005886598060948722,2024-01-02 06:22:00,2024-01-02 06:23:00,0 days 00:01:00,
7,245,1832,1833,81.62910574942039,81.70658195364462,,,14.979945686210241,4.001724348725093,0.0007490298330794199,2024-01-02 06:51:00,2024-01-02 06:52:00,0 days 00:01:00,
8,223,1915,1916,89.3868215913724,89.54815571797678,,,31.98726023877993,3.9902499939984866,0.0016047178579544066,2024-01-02 08:14:00,2024-01-02 08:15:00,0 days 00:01:00,
9,216,1941,1943,92.31607105888952,91.70698338215465,,,-135.53783615065916,3.974897975926554,-0.006797191160558562,2024-01-02 08:40:00,2024-01-02 08:42:00,0 days 00:02:00,
10,215,2050,2055,92.93584074089269,94.10088618298523,,,246.46348042103455,4.021289628863375,0.012334765148315373,2024-01-02 10:29:00,2024-01-02 10:34:00,0 days 00:05:00,
11,205,2075,2078,97.6557297305027,97.04403436392975,,,-129.3888953113897,3.9913451639358657,-0.006463167545050318,2024-01-02 10:54:00,2024-01-02 10:57:00,0 days 00:03:00,
12,206,2079,2080,96.93417385659788,96.85335273430574,,,-20.641174239952587,3.992023047772615,-0.001033689884224497,2024-01-02 10:58:00,2024-01-02 10:59:00,0 days 00:01:00,
13,203,2150,2151,98.4196308842215,97.70630273989468,,,-148.78696975091466,3.9813564525695586,-0.007447099029983648,2024-01-02 12:09:00,2024-01-02 12:10:00,0 days 00:01:00,
14,193,2184,2185,103.16226442862391,103.94291079433332,,,146.6676187001114,3.9971298818030747,0.007366413023173802,2024-01-02 12:43:00,2024-01-02 12:44:00,0 days 00:01:00,
15,193,2186,2190,103.56751505899156,105.08213173009165,,,288.2940793392873,4.026938183029307,0.014422975250206081,2024-01-02 12:45:00,2024-01-02 12:49:00,0 days 00:04:00,
16,193,2252,2253,103.57745533249856,102.68454364571448,,,-176.31281212960596,3.9808565802795117,-0.008819852580364159,2024-01-02 13:51:00,2024-01-02 13:52:00,0 days 00:01:00,
17,195,2277,2279,102.51652207961254,103.06526868173762,,,102.99674249454392,4.008844919846329,0.005152227293067666,2024-01-02 14:16:00,2024-01-02 14:18:00,0 days 00:02:00,
18,190,2400,2401,105.40131090570206,105.61404831491151,,,36.41081592460436,4.009291825191658,0.001818154552734495,2024-01-02 16:19:00,2024-01-02 16:20:00,0 days 00:01:00,
19,201,2632,2633,99.39534221550598,99.33422930346934,,,-16.278159706894893,3.994464387531404,-0.0008147853549610024,2024-01-02 20:11:00,2024-01-02 20:12:00,0 days 00:01:00,
20,202,2639,2640,98.93627193836748,98.91754642937948,,,-7.779199946604145,3.996647131028489,-0.00038924946402632923,2024-01-02 20:18:00,2024-01-02 20:19:00,0 days 00:01:00,
21,203,2749,2753,98.49725177461514,98.3329382349714,,,-37.35130140487443,3.9956528571946066,-0.0018680374866267913,2024-01-02 22:08:00,2024-01-02 22:12:00,0 days 00:04:00,
