iter,sharpe,n_trades,win_rate,mom_flat_thresh,mom_peak_thresh,mom_exit_thresh,vol_exhaust_hi,vol_exhaust_lo,sl_buffer,trail_step,taker_win_min,max_hold_bars
57,-inf,0,,-0.02,0.008,-0.005,1.8,0.6,0.0003,0.0002,0.008,40
58,-inf,0,,-0.02,0.008,-0.005,1.8,0.6,0.0003,0.0002,0.008,60
59,-inf,0,,-0.02,0.008,-0.005,1.8,0.6,0.0003,0.0002,0.008,90
60,-inf,0,,-0.02,0.008,-0.005,1.8,0.8,0.0003,0.0002,0.008,40
61,-inf,0,,-0.02,0.008,-0.005,1.8,0.8,0.0003,0.0002,0.008,60
62,-inf,0,,-0.02,0.008,-0.005,1.8,0.8,0.0003,0.0002,0.008,90
63,-inf,0,,-0.02,0.008,-0.005,2.2,0.4,0.0003,0.0002,0.008,40
64,-inf,0,,-0.02,0.008,-0.005,2.2,0.4,0.0003,0.0002,0.008,60
65,-inf,0,,-0.02,0.008,-0.005,2.2,0.4,0.0003,0.0002,0.008,90
66,-inf,0,,-0.02,0.008,-0.005,2.2,0.6,0.0003,0.0002,0.008,40
67,-inf,0,,-0.02,0.008,-0.005,2.2,0.6,0.0003,0.0002,0.008,60
68,-inf,0,,-0.02,0.008,-0.005,2.2,0.6,0.0003,0.0002,0.008,90
69,-inf,0,,-0.02,0.008,-0.005,2.2,0.8,0.0003,0.0002,0.008,40
70,-inf,0,,-0.02,0.008,-0.005,2.2,0.8,0.0003,0.0002,0.008,60
71,-inf,0,,-0.02,0.008,-0.005,2.2,0.8,0.0003,0.0002,0.008,90
72,-inf,0,,-0.02,0.008,-0.003,1.4,0.4,0.0003,0.0002,0.008,40
73,-inf,0,,-0.02,0.008,-0.003,1.4,0.4,0.0003,0.0002,0.008,60
74,-inf,0,,-0.02,0.008,-0.003,1.4,0.4,0.0003,0.0002,0.008,90
75,-inf,0,,-0.02,0.008,-0.003,1.4,0.6,0.0003,0.0002,0.008,40
76,-inf,0,,-0.02,0.008,-0.003,1.4,0.6,0.0003,0.0002,0.008,60
77,-inf,0,,-0.02,0.008,-0.003,1.4,0.6,0.0003,0.0002,0.008,90
78,-inf,0,,-0.02,0.008,-0.003,1.4,0.8,0.0003,0.0002,0.008,40
79,-inf,0,,-0.02,0.008,-0.003,1.4,0.8,0.0003,0.0002,0.008,60
